,duration,erotism,rhythm,filmtv_id,humor,effort,year,critics_vote,public_vote,total_votes,tension,avg_vote
158,108,1,2,264,1,0,1967,6,6,8,1,6.1
159,109,0,2,265,2,0,1950,6,8,8,0,6.9
160,101,0,2,266,2,0,1988,6,5,12,1,5.7
161,80,0,3,267,3,0,1935,8,7,26,0,7.4
162,75,0,3,269,3,0,1943,6,6,18,0,6
163,85,0,3,270,3,0,1941,5.5,5,23,0,5.3
164,85,0,3,271,2,2,1977,7.83,8,64,0,7.9
165,90,0,2,272,2,0,1954,4.5,4,16,0,4.1
166,62,0,2,273,1,4,1991,8,8,16,3,7.8
167,98,1,2,274,3,0,1984,5.71,7,186,0,6.1
168,104,2,3,276,2,3,1969,8,8,14,2,8.2
169,107,0,3,278,0,2,1990,7.4,7,103,3,7.4
170,130,1,2,280,2,0,1964,5.33,7,6,2,6.2
171,107,1,3,282,2,0,1956,7.67,6,62,0,7
172,105,0,3,285,2,1,1992,6,5,7,4,5.7
173,97,0,1,287,1,0,1965,3,3,5,0,3.2
174,106,0,1,288,0,0,1988,7,6,3,1,6.5
175,81,0,1,289,1,3,1988,8.16,7,129,1,7.8
176,100,1,1,290,1,1,1973,4.67,6,7,0,5.3
177,95,0,2,291,0,2,1970,6.25,7,87,2,6.9
178,95,1,3,293,2,4,1992,6.67,7,16,3,6.6
179,96,0,2,296,1,2,1951,8.73,8,234,4,8.4
180,121,1,2,297,2,2,1989,6.35,6,123,2,6.2
181,98,0,2,298,0,0,1981,7,7,7,2,7.2
182,117,0,2,299,1,1,1955,8.67,8,14,2,8.2
183,112,2,2,300,0,0,1992,5.25,6,75,1,5.8
184,84,0,2,301,0,2,1950,6,7,3,2,6.3
185,82,0,2,302,0,2,1970,5,4,10,2,4.3
186,107,0,1,303,0,0,1952,4,6,8,2,4.9
187,100,3,2,305,1,0,1981,4.75,5,21,0,5
188,106,3,3,308,2,4,1972,7.33,7,34,3,7.2
189,99,1,2,309,0,1,1947,6.5,8,8,3,7
190,92,3,4,310,2,4,1950,7.75,8,40,4,8
191,89,3,3,311,2,3,1970,7.78,7,54,4,7.5
192,100,1,2,312,0,0,1958,6.5,5,14,1,5.9
193,90,1,2,314,1,0,1977,7,8,5,2,7.5
194,93,0,3,316,0,0,1949,8.11,8,30,2,8
195,89,0,2,318,0,1,1947,7.33,6,10,3,6.7
196,105,2,3,320,3,0,1974,6,7,3,1,6.5
197,96,1,2,322,1,0,1965,4,4,22,0,4
198,125,2,3,325,3,3,1973,8.75,8,403,0,8.5
199,93,1,2,327,1,0,1985,3.33,5,40,0,3.9
200,105,0,2,329,1,1,1936,7.86,8,20,2,7.8
201,109,0,2,330,1,2,1983,8,7,3,3,7.5
202,135,1,3,331,1,2,1947,7.4,7,21,2,7.4
203,97,3,3,332,3,3,1972,7.57,7,74,4,7.4
204,97,2,2,334,1,0,1983,4.67,5,13,0,4.9
205,117,2,1,337,1,1,1980,7.52,7,201,3,7.2
206,110,0,2,338,2,1,1973,8.14,7,187,1,7.6
207,115,0,2,339,2,1,1979,7.29,6,28,0,6.6
208,112,1,3,341,3,1,1951,7.79,7,86,0,7.5
209,94,0,3,342,4,1,1954,7.32,7,169,1,7.2
210,102,1,2,344,1,0,1991,5,6,25,1,5.6
211,122,0,3,345,0,3,1957,8,7,15,3,7.4
212,100,2,2,346,1,2,1969,5,5,24,1,5.2
213,115,0,2,348,2,0,1970,6.4,6,13,1,6.1
214,106,1,1,350,0,2,1955,6.94,7,79,1,6.9
215,116,1,2,351,1,0,1982,4,7,6,0,5.5
216,115,0,1,352,0,3,1988,7.67,7,27,2,7.3
217,88,0,2,354,1,0,1955,5.5,8,13,1,6.6
218,95,1,2,355,2,0,1976,4.5,7,14,0,5.6
219,120,0,2,356,0,0,1982,6,4,3,2,5
220,128,0,2,357,0,1,1977,7.76,8,98,3,7.7
221,102,1,3,358,2,2,1987,7.11,7,37,2,7.1
222,90,1,3,359,0,1,1972,7.5,7,41,2,7.1
223,105,0,2,361,2,1,1938,6,7,10,1,6.7
224,115,0,2,363,0,3,1988,5.5,5,8,2,5.3
225,116,0,2,364,0,1,1979,5.77,6,71,3,5.9
226,135,1,2,367,0,1,1991,5.75,7,50,2,6.3
227,94,0,0,369,0,0,1962,6.67,7,14,0,6.9
228,100,0,2,370,1,0,1968,5.5,5,23,1,5.5
229,102,0,2,371,1,0,1963,4,8,3,1,6
230,98,1,2,372,1,0,1985,5.5,5,12,0,5.5
231,103,0,2,373,0,0,1983,3,6,7,0,4.4
232,110,0,2,374,0,0,1961,4,6,7,0,5
233,78,0,1,377,1,2,1948,7,7,43,2,7
234,105,1,2,378,0,3,1960,7.14,7,29,2,7
235,96,0,0,380,0,0,1979,7,7,10,0,6.9
236,110,0,2,382,0,0,1992,4,5,8,1,4.3
237,93,1,2,383,0,1,1969,4.67,5,6,1,5
238,86,0,2,384,2,0,1992,6,8,3,1,7
239,105,0,1,386,1,0,1989,4,5,3,0,4.5
